timestamp,daily_average_x,daily_max_x,daily_total_x,weekly_average,weekly_max,weekly_total,site_id,daily_average_y,daily_max_y,daily_total_y
2023-12-01,48.365949074074074,99.91,83576.36,,,,1.0,50.16015046296297,99.91,43338.37
2023-12-01,48.365949074074074,99.91,83576.36,,,,2.0,46.57174768518518,99.87,40237.99
2023-12-02,48.28852430555556,99.97,83442.57,,,,1.0,49.028310185185184,99.94,42360.46
2023-12-02,48.28852430555556,99.97,83442.57,,,,2.0,47.548738425925926,99.97,41082.11
2023-12-03,47.86590277777778,99.88,82712.28,48.1734587191358,99.97,249731.21,1.0,48.03024305555555,99.88,41498.13
2023-12-03,47.86590277777778,99.88,82712.28,48.1734587191358,99.97,249731.21,2.0,47.7015625,99.82,41214.15
2023-12-04,48.68586805555555,99.9,84129.18,,,,1.0,48.136608796296294,99.9,41590.03
2023-12-04,48.68586805555555,99.9,84129.18,,,,2.0,49.23512731481482,99.76,42539.15
2023-12-05,48.68668402777777,99.99,84130.59,,,,1.0,49.07208333333333,99.99,42398.28
2023-12-05,48.68668402777777,99.99,84130.59,,,,2.0,48.30128472222222,99.75,41732.31
2023-12-06,48.72998263888889,99.95,84205.41,,,,1.0,48.92325231481482,99.94,42269.69
2023-12-06,48.72998263888889,99.95,84205.41,,,,2.0,48.536712962962966,99.95,41935.72
2023-12-07,48.22825231481482,99.98,83338.42,,,,1.0,47.079861111111114,99.98,40677.0
2023-12-07,48.22825231481482,99.98,83338.42,,,,2.0,49.37664351851851,99.76,42661.42
2023-12-08,48.071365740740745,99.83,83067.32,,,,1.0,48.37377314814815,99.79,41794.94
2023-12-08,48.071365740740745,99.83,83067.32,,,,2.0,47.76895833333333,99.83,41272.38
2023-12-09,48.25203703703704,99.95,83379.52,,,,1.0,47.97967592592593,99.95,41454.44
2023-12-09,48.25203703703704,99.95,83379.52,,,,2.0,48.52439814814815,99.77,41925.08
2023-12-10,48.39704861111112,99.9,83630.1,48.435891203703704,99.99,585880.54,1.0,49.183182870370366,99.9,42494.27
2023-12-10,48.39704861111112,99.9,83630.1,48.435891203703704,99.99,585880.54,2.0,47.610914351851854,99.81,41135.83
2023-12-11,48.56702546296297,99.99,83923.82,,,,1.0,49.19501157407407,99.99,42504.49
2023-12-11,48.56702546296297,99.99,83923.82,,,,2.0,47.939039351851854,99.99,41419.33
2023-12-12,48.29826388888888,99.94,83459.4,,,,1.0,47.824444444444445,99.94,41320.32
2023-12-12,48.29826388888888,99.94,83459.4,,,,2.0,48.772083333333335,99.89,42139.08
2023-12-13,49.21497685185185,100.0,85043.48,,,,1.0,50.474942129629625,99.91,43610.35
2023-12-13,49.21497685185185,100.0,85043.48,,,,2.0,47.95501157407407,100.0,41433.13
2023-12-14,35.776666666666664,97.4,214.66,,,,1.0,46.693333333333335,97.4,140.08
2023-12-14,35.776666666666664,97.4,214.66,,,,2.0,24.86,37.91,74.58
2023-12-17,,,,48.678489402697494,100.0,252641.36,,,,
